SteamAppid,Description,Type,Name,Publishers,Developers,isFree,Windows,Mac,Linux,Date,ComingSoon,Currency,DiscountPercent,InitialFormatted,FinalFormatted
1257,"El Nightfall Character Pack añade cuatro personajes nuevos y únicos a Killing Floor como Contenido Descargable. Una vez que hayas comprado el pack, los podrás elegir en la pantalla de selección de personaje dentro del juego. Mr. Foster ""La SuperFantástica vida de un operador del día y atracción nocturna del bar karaoke de Londres"".",dlc,Killing Floor: Nightfall Character Pack,Tripwire Interactive,Tripwire Interactive,false,true,true,true,19 MAY 2010,false,ARS,0,ARS 104.99,"ARS$ 104,99"
1300,"Eres John Blade, comandante de HardCorps, un agente de las fuerzas de seguridad de élite destinado a proteger a los habitantes de Freeport City. Han pasado 4 años desde la primera batalla contra Elexis Sinclaire, una científica bella, brillante y cruel cuyo único objetivo es hacer una nueva versión de la humanidad de acuerdo con su...",game,SiN Episodes: Emergence,Ritual Entertainment,Ritual Entertainment,false,true,false,false,10 MAY 2006,false,ARS,0,ARS 129.99,"ARS$ 129,99"
1313,SiN: Gold has returned! Free update for original owners!,game,SiN: Gold,Nightdive Studios,"Ritual Entertainment, Nightdive Studios",false,true,false,false,18 MAR 2020,false,ARS,0,ARS 129.99,"ARS$ 129,99"
1500,"Darwinia ofrece un mecanismo de control intuitivo y novedoso, acción frenética combinada con componentes de estrategia, un estilo gráfico sacado de los clásicos retro de los años 80 como Tron y Defender y una historia sobre una tribu de duendes nómadas atrapados en un mundo 3D moderno.",game,Darwinia,Introversion Software,Introversion Software,false,true,true,true,14 JUL 2005,false,ARS,0,ARS 765.00,"ARS$ 765,00"
1520,"Inspirado en la película clásica de culto de 1983, Juegos de guerra, DEFCON evoca magistralmente la tensión, paranoia y atmósfera de sospecha de la época de la Guerra Fría, recreando los aspectos más fascinantes del juego psicológico que se desarrolló durante la guerra nuclear estratégica.",game,DEFCON,Introversion Software,Introversion Software,false,true,true,true,29 SEP 2006,false,ARS,0,ARS 765.00,"ARS$ 765,00"
1510,"Eres un agente que se gana la vida realizando trabajos para grandes corporaciones. Tus tareas se basan en la intrusión en sistemas informáticos rivales, robo de datos sobre investigaciones, sabotaje de otras compañías, lavado de dinero, eliminación de pruebas o incriminación de personas inocentes.",game,Uplink,Introversion Software,Introversion Software,false,true,true,true,23 AGO 2006,false,ARS,0,ARS 765.00,"ARS$ 765,00"
1630,La galardonada saga Disciples marcó un hito en su gloriosa historia con la introducción de una nueva raza: Los Elfos. Esta raza añadió una nueva dimensión al juego y cantidad de horas de diversión. Ahora la saga se amplía más con Disciples II: Rise Of The Elves.,game,Disciples II: Rise of the Elves ,Strategy First,Strategy First,false,true,false,false,6 JUL 2006,false,ARS,0,ARS 118.74,"ARS$ 118,74"
1530,"&quot;Hace tiempo, un informático llamado Dr. Sepulveda creó un bello mundi digital, que existía unicamente en una red de computadores de su invención. Este mundo se llamó Darwinia y estaba habitado por pacíficas y tranquilas formas de vida llamadas Darwinians.",game,Multiwinia,Introversion Software,Introversion Software,false,true,true,false,19 SEP 2008,false,ARS,0,ARS 765.00,"ARS$ 765,00"
1620,"El pequeño país Arulco ha sido tomado por un despiadado dictador y sólo tú puedes liberarlo. Jagged Alliance 2 Gold Pack te sumerge en un elaborado universo de rol donde podrás interactuar con más de 150 personajes, reclutar a tu propia cuadrilla de soldados y crear tu propio mercenario para reconquistar Arulco no sólo una, sino hasta...",game,Jagged Alliance 2 Gold,Strategy First,Strategy First,false,true,false,false,6 JUL 2006,false,ARS,0,ARS 281.24,"ARS$ 281,24"
1600,"S.C.S. - Dangerous Waters te permite tener un control total sobre plataformas submarinas, aéreas y terrestres en un entorno naval actual. Toma el control directo sobre estaciones tripuladas individuales. Planifica y ejecuta estrategias navales con combinaciones de armas desde la perspectiva global del 'ojo de comandante'.",game,Dangerous Waters,Strategy First,Sonalysts,false,true,false,false,7 FEB 2006,false,ARS,80,ARS 179.99,"ARS$ 35,99"
1610,"El premiado Space Empires IV Deluxe es la última entrega en la serie Space Empires. Space Empires es un ambicioso título de estrategia en el clásico género del espacio &quot;4 X&quot; (explorar, expandirse, explotar y exterminar) que ha encontrado ya su lugar en el corazón de los aficionados a la estrategia de todo el mundo.",game,Space Empires IV Deluxe,Strategy First,Malfador Machinations,false,true,false,false,7 FEB 2006,false,ARS,80,ARS 162.49,"ARS$ 32,49"
